datetime,MS0208 Total Flow MGD
2015-06-01,0.3929156829732984
2015-06-02,0.3229156829732983
2015-06-03,0.2629156829732983
2015-06-04,0.2729156829732983
2015-06-05,0.2729156829732983
2015-06-06,0.27816473596530433
2015-06-07,0.28816473596530434
2015-06-08,0.2629156829732983
2015-06-09,0.2629156829732983
2015-06-10,0.2729156829732983
2015-06-11,0.2729156829732983
2015-06-12,0.5529156829732983
2015-06-13,0.5281647359653044
2015-06-14,0.7281647359653044
2015-06-15,0.5629156829732983
2015-06-16,0.5829156829732983
2015-06-17,0.4229156829732983
2015-06-18,0.36291568297329835
2015-06-19,0.31291568297329836
2015-06-20,0.31816473596530437
2015-06-21,0.27816473596530433
2015-06-22,0.2729156829732983
2015-06-23,0.31291568297329836
2015-06-24,0.2629156829732983
2015-06-25,0.24291568297329835
2015-06-26,0.25291568297329836
2015-06-27,0.2681647359653043
2015-06-28,0.27816473596530433
2015-06-29,0.22291568297329833
2015-06-30,0.21291568297329833
2015-07-01,0.19291568297329836
2015-07-02,0.19291568297329836
2015-07-03,0.19291568297329836
2015-07-04,0.21816473596530436
2015-07-05,0.2581647359653044
2015-07-06,0.18291568297329835
2015-07-07,0.2629156829732983
2015-07-08,0.24291568297329835
2015-07-09,0.20291568297329832
2015-07-10,0.20291568297329832
2015-07-11,0.20816473596530435
2015-07-12,0.23816473596530438
2015-07-13,0.20291568297329832
2015-07-14,0.25291568297329836
2015-07-15,0.22291568297329833
2015-07-16,0.18291568297329835
2015-07-17,0.4329156829732983
2015-07-18,0.29816473596530435
2015-07-19,0.28816473596530434
2015-07-20,0.22291568297329833
2015-07-21,0.24291568297329835
2015-07-22,0.23291568297329834
2015-07-23,0.21291568297329833
2015-07-24,0.21291568297329833
2015-07-25,0.20816473596530435
2015-07-26,0.23816473596530438
2015-07-27,0.23291568297329834
2015-07-28,0.23291568297329834
2015-07-29,0.19291568297329836
2015-07-30,0.19291568297329836
2015-07-31,0.20291568297329832
2015-08-01,0.21816473596530436
2015-08-02,0.22816473596530437
2015-08-03,0.24291568297329835
2015-08-04,0.19291568297329836
2015-08-05,0.16291568297329834
2015-08-06,0.18291568297329835
2015-08-07,0.19291568297329836
2015-08-08,0.20816473596530435
2015-08-09,0.1981647359653044
2015-08-10,0.18291568297329835
2015-08-11,0.3229156829732983
2015-08-12,0.20291568297329832
2015-08-13,0.18291568297329835
2015-08-14,0.17291568297329835
2015-08-15,0.20816473596530435
2015-08-16,0.1881647359653044
2015-08-17,0.14291568297329832
2015-08-18,0.19291568297329836
2015-08-19,0.36291568297329835
2015-08-20,0.18291568297329835
2015-08-21,0.17291568297329835
2015-08-22,0.1981647359653044
2015-08-23,0.1881647359653044
2015-08-24,0.14291568297329832
2015-08-25,0.13291568297329837
2015-08-26,0.14291568297329832
2015-08-27,0.15291568297329833
2015-08-28,0.14291568297329832
2015-08-29,0.17816473596530438
2015-08-30,0.27816473596530433
2015-08-31,0.19291568297329836
2015-09-01,0.19291568297329836
2015-09-02,0.16291568297329834
2015-09-03,0.16291568297329834
2015-09-04,0.14291568297329832
2015-09-05,0.15816473596530436
2015-09-06,0.14816473596530436
2015-09-07,0.15291568297329833
2015-09-08,0.15291568297329833
2015-09-09,0.29291568297329834
2015-09-10,0.19291568297329836
2015-09-11,0.16291568297329834
2015-09-12,0.16816473596530437
2015-09-13,0.17816473596530438
2015-09-14,0.11291568297329835
2015-09-15,0.11291568297329835
2015-09-16,0.10291568297329834
2015-09-17,0.13291568297329837
2015-09-18,0.22291568297329833
2015-09-19,0.4981647359653044
2015-09-20,0.4781647359653044
2015-09-21,0.28291568297329833
2015-09-22,0.24291568297329835
2015-09-23,0.21291568297329833
2015-09-24,0.21291568297329833
2015-09-25,0.21291568297329833
2015-09-26,0.20816473596530435
2015-09-27,0.22816473596530437
2015-09-28,0.18291568297329835
2015-09-29,0.16291568297329834
2015-09-30,0.2729156829732983
2015-10-01,0.18291568297329835
2015-10-02,0.20291568297329832
2015-10-03,0.23816473596530438
2015-10-04,0.20816473596530435
2015-10-05,0.17291568297329835
2015-10-06,0.18291568297329835
2015-10-07,0.15291568297329833
2015-10-08,0.15291568297329833
2015-10-09,0.18291568297329835
2015-10-10,0.14816473596530436
2015-10-11,0.15816473596530436
2015-10-12,0.12291568297329836
2015-10-13,0.10291568297329834
2015-10-14,0.15291568297329833
2015-10-15,0.12291568297329836
2015-10-16,0.12291568297329836
2015-10-17,0.1381647359653044
2015-10-18,0.1381647359653044
2015-10-19,0.14291568297329832
2015-10-20,0.11291568297329835
2015-10-21,0.11291568297329835
2015-10-22,0.08291568297329835
2015-10-23,0.10291568297329834
2015-10-24,0.1981647359653044
2015-10-25,0.14816473596530436
2015-10-26,0.10291568297329834
2015-10-27,0.10291568297329834
2015-10-28,0.29291568297329834
2015-10-29,0.23291568297329834
2015-10-30,0.16291568297329834
2015-10-31,0.16816473596530437
2015-11-01,0.39816473596530444
2015-11-02,0.20291568297329832
2015-11-03,0.15291568297329833
2015-11-04,0.15291568297329833
2015-11-05,0.13291568297329837
2015-11-06,0.15291568297329833
2015-11-07,0.20816473596530435
2015-11-08,0.17816473596530438
2015-11-09,-0.047084317026701655
2015-11-10,0.10291568297329834
2015-11-11,0.22291568297329833
2015-11-12,0.38291568297329837
2015-11-13,0.17291568297329835
2015-11-14,0.16816473596530437
2015-11-15,0.20816473596530435
2015-11-16,0.13291568297329837
2015-11-17,0.13291568297329837
2015-11-18,1.2529156829732981
2015-11-19,0.6029156829732983
2015-11-20,0.34291568297329833
2015-11-21,0.29816473596530435
2015-11-22,0.3481647359653044
2015-11-23,0.28291568297329833
2015-11-24,0.2729156829732983
2015-11-25,0.34291568297329833
2015-11-26,0.4629156829732983
2015-11-27,2.3529156829732982
2015-11-28,0.9681647359653045
2015-11-29,0.7081647359653044
2015-11-30,0.49291568297329835
2015-12-01,0.8729156829732984
2015-12-02,0.8129156829732983
2015-12-03,0.6229156829732984
2015-12-04,0.5029156829732984
